text_id,model,paragraph_id_1,paragraph_number_1,paragraph_id_2,paragraph_number_2,lemma,upos,lemma_group,pronoun_form_group,n_adjacent_transitions
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,neu,ADJ,content_word,,1
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,viel,ADJ,content_word,,2
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,zunehmen,ADJ,content_word,,1
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,für,ADP,other_function_word,,2
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,in,ADP,other_function_word,,3
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,von,ADP,other_function_word,,1
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,auch,ADV,content_word,,3
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,nur,ADV,content_word,,3
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,wie,ADV,content_word,,1
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,können,AUX,other_function_word,,3
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,sein,AUX,other_function_word,,3
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,werden,AUX,other_function_word,,2
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,denn,CCONJ,other_function_word,,1
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,sondern,CCONJ,other_function_word,,1
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,und,CCONJ,other_function_word,,3
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,die,DET,other_function_word,,3
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,dies,DET,other_function_word,,2
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,eine,DET,other_function_word,,1
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,digitalisierung,NOUN,content_word,,3
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,herausforderung,NOUN,content_word,,1
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,technologie,NOUN,content_word,,2
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,nicht,PART,other_function_word,,3
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,zu,PART,other_function_word,,3
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,die,PRON,pronoun,potential_nominal_or_relative_reference,2
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,es,PRON,pronoun,referential_or_nonreferential_ambiguous,3
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,sich,PRON,pronoun,reflexive,2
