text_id,sentence_id,paragraph_id,model,segment_order,terms,n_connectors,segment_id,next_sentence_id,normalized_position,connector_type,terms_1,terms_2,transition_id,valid_vector,human_transition_id,human_position,position_gap,cosine_similarity
BASIC_CHATGPT_NATIVE_001,10,BASIC_CHATGPT_NATIVE_001_P02,chatgpt_native,8,wie und als,2,BASIC_CHATGPT_NATIVE_001_10_11_CCONJ,11,0.3333333333333333,CCONJ,NA,wie und als,BASIC_CHATGPT_NATIVE_001_10_11_CCONJ,TRUE,HUMAN_BASELINE_001_11_12_CCONJ,0.3333333333333333,0,0.3624204020377347
BASIC_CHATGPT_NATIVE_001,11,BASIC_CHATGPT_NATIVE_001_P02,chatgpt_native,9,wie und als und,3,BASIC_CHATGPT_NATIVE_001_11_12_CCONJ,12,0.38095238095238093,CCONJ,wie und als,und,BASIC_CHATGPT_NATIVE_001_11_12_CCONJ,TRUE,HUMAN_BASELINE_001_12_13_CCONJ,0.36666666666666664,0.01428571428571429,0.41867485295442086
BASIC_CHATGPT_NATIVE_001,12,BASIC_CHATGPT_NATIVE_001_P02,chatgpt_native,10,und und,2,BASIC_CHATGPT_NATIVE_001_12_13_CCONJ,13,0.42857142857142855,CCONJ,und,und,BASIC_CHATGPT_NATIVE_001_12_13_CCONJ,TRUE,HUMAN_BASELINE_001_14_15_CCONJ,0.43333333333333335,0.0047619047619048005,0.9999999999999998
BASIC_CHATGPT_NATIVE_001,13,BASIC_CHATGPT_NATIVE_001_P02,chatgpt_native,11,und,1,BASIC_CHATGPT_NATIVE_001_13_14_CCONJ,14,0.47619047619047616,CCONJ,und,NA,BASIC_CHATGPT_NATIVE_001_13_14_CCONJ,TRUE,HUMAN_BASELINE_001_15_16_CCONJ,0.4666666666666667,0.00952380952380949,0.9999999999999996
BASIC_CHATGPT_NATIVE_001,14,BASIC_CHATGPT_NATIVE_001_P02,chatgpt_native,12,denn sondern und,1,BASIC_CHATGPT_NATIVE_001_14_15_CCONJ,15,0.5238095238095238,CCONJ,NA,denn sondern und,BASIC_CHATGPT_NATIVE_001_14_15_CCONJ,TRUE,HUMAN_BASELINE_001_17_18_CCONJ,0.5333333333333333,0.00952380952380949,0.13795514906007042
BASIC_CHATGPT_NATIVE_001,15,BASIC_CHATGPT_NATIVE_001_P02,chatgpt_native,13,denn sondern und und,3,BASIC_CHATGPT_NATIVE_001_15_16_CCONJ,16,0.5714285714285714,CCONJ,denn sondern und,und,BASIC_CHATGPT_NATIVE_001_15_16_CCONJ,TRUE,HUMAN_BASELINE_001_18_19_CCONJ,0.5666666666666667,0.004761904761904745,0.14632750792200275
BASIC_CHATGPT_NATIVE_001,16,BASIC_CHATGPT_NATIVE_001_P02,chatgpt_native,14,und,2,BASIC_CHATGPT_NATIVE_001_16_18_CCONJ,18,0.6190476190476191,CCONJ,und,NA,BASIC_CHATGPT_NATIVE_001_16_18_CCONJ,TRUE,HUMAN_BASELINE_001_20_21_CCONJ,0.6333333333333333,0.014285714285714235,0.9999999999999996
BASIC_CHATGPT_NATIVE_001,18,BASIC_CHATGPT_NATIVE_001_P03,chatgpt_native,15,jedoch wie oder,0,BASIC_CHATGPT_NATIVE_001_18_19_CCONJ,19,0.6666666666666666,CCONJ,NA,jedoch wie oder,BASIC_CHATGPT_NATIVE_001_18_19_CCONJ,TRUE,HUMAN_BASELINE_001_20_21_CCONJ,0.6333333333333333,0.033333333333333326,-0.028729182313394525
BASIC_CHATGPT_NATIVE_001,19,BASIC_CHATGPT_NATIVE_001_P03,chatgpt_native,16,jedoch wie oder und,4,BASIC_CHATGPT_NATIVE_001_19_20_CCONJ,20,0.7142857142857143,CCONJ,jedoch wie oder,und,BASIC_CHATGPT_NATIVE_001_19_20_CCONJ,TRUE,HUMAN_BASELINE_001_23_24_CCONJ,0.7333333333333333,0.01904761904761898,0.028900302924334424
BASIC_CHATGPT_NATIVE_001,20,BASIC_CHATGPT_NATIVE_001_P03,chatgpt_native,17,und,1,BASIC_CHATGPT_NATIVE_001_20_21_CCONJ,21,0.7619047619047619,CCONJ,und,NA,BASIC_CHATGPT_NATIVE_001_20_21_CCONJ,TRUE,HUMAN_BASELINE_001_24_25_CCONJ,0.7666666666666667,0.004761904761904856,0.11843158217083675
