text_id,model,paragraph_id,sentence_id,segment_order,connector_type,terms,n_connectors,segment_id,valid_vector,next_sentence_id,next_segment_id,normalized_position,transition_id,cc_score,human_transition_id,human_position,human_score,position_gap,human_centered_difference,human_centered_abs_difference
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P02,11,9,CCONJ,wie und als,3,BASIC_CHATGPT_NATIVE_001_11_CCONJ,TRUE,12,BASIC_CHATGPT_NATIVE_001_12_CCONJ,0.38095238095238093,BASIC_CHATGPT_NATIVE_001_11_12_CCONJ,0.3624204020377347,HUMAN_BASELINE_001_14_15_CCONJ,0.43333333333333335,0.9999999999999996,0.05238095238095242,-0.6375795979622649,0.6375795979622649
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P02,12,10,CCONJ,und,1,BASIC_CHATGPT_NATIVE_001_12_CCONJ,TRUE,13,BASIC_CHATGPT_NATIVE_001_13_CCONJ,0.42857142857142855,BASIC_CHATGPT_NATIVE_001_12_13_CCONJ,0.9999999999999996,HUMAN_BASELINE_001_14_15_CCONJ,0.43333333333333335,0.9999999999999996,0.0047619047619048005,0,0
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P02,15,13,CCONJ,denn sondern und,3,BASIC_CHATGPT_NATIVE_001_15_CCONJ,TRUE,16,BASIC_CHATGPT_NATIVE_001_16_CCONJ,0.5714285714285714,BASIC_CHATGPT_NATIVE_001_15_16_CCONJ,-0.18650861442574793,HUMAN_BASELINE_001_17_18_CCONJ,0.5333333333333333,-0.18677082094974123,0.03809523809523807,2.62206523993308e-4,2.62206523993308e-4
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P03,19,16,CCONJ,jedoch wie oder,3,BASIC_CHATGPT_NATIVE_001_19_CCONJ,TRUE,20,BASIC_CHATGPT_NATIVE_001_20_CCONJ,0.7142857142857143,BASIC_CHATGPT_NATIVE_001_19_20_CCONJ,-0.028729182313394525,HUMAN_BASELINE_001_24_25_CCONJ,0.7666666666666667,0.049795893630225824,0.05238095238095242,-0.07852507594362035,0.07852507594362035
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P03,22,19,CCONJ,und,1,BASIC_CHATGPT_NATIVE_001_22_CCONJ,TRUE,23,BASIC_CHATGPT_NATIVE_001_23_CCONJ,0.8571428571428571,BASIC_CHATGPT_NATIVE_001_22_23_CCONJ,0.07672827274759117,HUMAN_BASELINE_001_28_29_CCONJ,0.9,0.3038909424522511,0.04285714285714293,-0.22716266970465995,0.22716266970465995
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P03,23,20,CCONJ,als,1,BASIC_CHATGPT_NATIVE_001_23_CCONJ,TRUE,24,BASIC_CHATGPT_NATIVE_001_24_CCONJ,0.9047619047619048,BASIC_CHATGPT_NATIVE_001_23_24_CCONJ,1.0000000000000002,HUMAN_BASELINE_001_28_29_CCONJ,0.9,0.3038909424522511,0.004761904761904745,0.6961090575477491,0.6961090575477491
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P04,24,21,CCONJ,als,1,BASIC_CHATGPT_NATIVE_001_24_CCONJ,TRUE,25,BASIC_CHATGPT_NATIVE_001_25_CCONJ,0.9523809523809523,BASIC_CHATGPT_NATIVE_001_24_25_CCONJ,-0.02492911046588519,HUMAN_BASELINE_001_31_32_CCONJ,1,0.9999999999999996,0.04761904761904767,-1.0249291104658846,1.0249291104658846
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P04,25,22,CCONJ,und sondern,2,BASIC_CHATGPT_NATIVE_001_25_CCONJ,TRUE,26,BASIC_CHATGPT_NATIVE_001_26_CCONJ,1,BASIC_CHATGPT_NATIVE_001_25_26_CCONJ,0.9999999999999999,HUMAN_BASELINE_001_31_32_CCONJ,1,0.9999999999999996,0,3.3306690738754696e-16,3.3306690738754696e-16
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,6,5,CCONJ,und,1,BASIC_CHATGPT_NATIVE_001_6_CCONJ,TRUE,7,BASIC_CHATGPT_NATIVE_001_7_CCONJ,0.19047619047619047,BASIC_CHATGPT_NATIVE_001_6_7_CCONJ,-0.09893870467565673,HUMAN_BASELINE_001_9_10_CCONJ,0.26666666666666666,0.6680559036615702,0.0761904761904762,-0.7669946083372269,0.7669946083372269
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,6,5,SCONJ,dass,1,BASIC_CHATGPT_NATIVE_001_6_SCONJ,TRUE,7,BASIC_CHATGPT_NATIVE_001_7_SCONJ,0.19047619047619047,BASIC_CHATGPT_NATIVE_001_6_7_SCONJ,1,HUMAN_BASELINE_001_16_17_SCONJ,0.5,0.49035939249901644,0.30952380952380953,0.5096406075009836,0.5096406075009836
