text_id,paragraph_id,sentence_id,token_id,token,lemma,pos,dep_rel,head_token_id,token_clean,lemma_clean,is_blank_lemma_clean,is_x_pos,abstractness_concreteness,concreteness,imageability,abstractness_proxy
HUMAN_BASELINE_001,1,1,1,Nicht,nicht,PART,advmod,4,nicht,nicht,FALSE,FALSE,NA,NA,NA,NA
HUMAN_BASELINE_001,1,1,2,zum,zum,ADP,case,4,zum,zum,FALSE,FALSE,NA,NA,NA,NA
HUMAN_BASELINE_001,1,1,3,ersten,null,ADJ,amod,4,ersten,null,FALSE,FALSE,4.897,4.897,4.822,-4.897
HUMAN_BASELINE_001,1,1,4,Mal,mal,NOUN,obl,5,mal,mal,FALSE,FALSE,4.452999999999999,4.452999999999999,5.321,-4.452999999999999
HUMAN_BASELINE_001,1,1,5,hören,hören,VERB,root,0,hören,hören,FALSE,FALSE,4.0680000000000005,4.0680000000000005,4.5845,-4.0680000000000005
HUMAN_BASELINE_001,1,1,6,wir,wir,PRON,nsubj,5,wir,wir,FALSE,FALSE,NA,NA,NA,NA
HUMAN_BASELINE_001,1,1,7,",",",",PUNCT,punct,15,,,TRUE,FALSE,NA,NA,NA,NA
HUMAN_BASELINE_001,1,1,8,dass,dass,SCONJ,mark,15,dass,dass,FALSE,FALSE,NA,NA,NA,NA
HUMAN_BASELINE_001,1,1,9,unsere,unser,PRON,det,10,unsere,unser,FALSE,FALSE,NA,NA,NA,NA
HUMAN_BASELINE_001,1,1,10,Tätigkeiten,tätigkeit,NOUN,nsubj:pass,15,tätigkeiten,tätigkeit,FALSE,FALSE,3.323,3.323,3.437,-3.323
HUMAN_BASELINE_001,1,1,11,in,in,ADP,case,12,in,in,FALSE,FALSE,3.6386666666666665,3.6386666666666665,4.609,-3.6386666666666665
HUMAN_BASELINE_001,1,1,12,Zukunft,zukunft,NOUN,obl,15,zukunft,zukunft,FALSE,FALSE,3.092,3.092,3.613,-3.092
HUMAN_BASELINE_001,1,1,13,von,von,ADP,case,14,von,von,FALSE,FALSE,3.7095,3.7095,4.561,-3.7095
HUMAN_BASELINE_001,1,1,14,Maschinen,maschine,NOUN,nmod,12,maschinen,maschine,FALSE,FALSE,6.4685,6.4685,6.0385,-6.4685
HUMAN_BASELINE_001,1,1,15,ausgeführt,ausführen,VERB,ccomp,5,ausgeführt,ausführen,FALSE,FALSE,4.318,4.318,3.3034999999999997,-4.318
HUMAN_BASELINE_001,1,1,16,werden,werden,AUX,aux:pass,15,werden,werden,FALSE,FALSE,3.133,3.133,3.913,-3.133
HUMAN_BASELINE_001,1,1,17,und,und,CCONJ,cc,26,und,und,FALSE,FALSE,NA,NA,NA,NA
HUMAN_BASELINE_001,1,1,18,dass,dass,SCONJ,mark,26,dass,dass,FALSE,FALSE,NA,NA,NA,NA
HUMAN_BASELINE_001,1,1,19,Maschinen,maschine,NOUN,nsubj,26,maschinen,maschine,FALSE,FALSE,6.4685,6.4685,6.0385,-6.4685
HUMAN_BASELINE_001,1,1,20,als,als,CCONJ,case,21,als,als,FALSE,FALSE,3.394,3.394,4.061,-3.394
HUMAN_BASELINE_001,1,1,21,Arbeitskräfte,arbeitskraft,NOUN,obl,26,arbeitskräfte,arbeitskraft,FALSE,FALSE,3.872,3.872,3.702,-3.872
HUMAN_BASELINE_001,1,1,22,bald,bald,ADV,advmod,26,bald,bald,FALSE,FALSE,3.445,3.445,4.378,-3.445
HUMAN_BASELINE_001,1,1,23,in,in,ADP,case,25,in,in,FALSE,FALSE,3.6386666666666665,3.6386666666666665,4.609,-3.6386666666666665
HUMAN_BASELINE_001,1,1,24,vielen,viel,ADJ,amod,25,vielen,viel,FALSE,FALSE,NA,NA,NA,NA
HUMAN_BASELINE_001,1,1,25,Bereichen,bereichen,NOUN,obl,26,bereichen,bereichen,FALSE,FALSE,NA,NA,NA,NA
HUMAN_BASELINE_001,1,1,26,überflüssig,überflüssig,ADJ,conj,15,überflüssig,überflüssig,FALSE,FALSE,2.676,2.676,2.099,-2.676
HUMAN_BASELINE_001,1,1,27,sind,sein,AUX,cop,26,sind,sein,FALSE,FALSE,2.993,2.993,3.9255000000000004,-2.993
HUMAN_BASELINE_001,1,1,28,.,.,PUNCT,punct,5,,,TRUE,FALSE,NA,NA,NA,NA
HUMAN_BASELINE_001,1,2,1,Die,die,DET,det,2,die,die,FALSE,FALSE,3.035,3.035,3.998,-3.035
HUMAN_BASELINE_001,1,2,2,Entwicklung,entwicklung,NOUN,nsubj:pass,13,entwicklung,entwicklung,FALSE,FALSE,2.235,2.235,2.942,-2.235
HUMAN_BASELINE_001,1,2,3,",",",",PUNCT,punct,7,,,TRUE,FALSE,NA,NA,NA,NA
HUMAN_BASELINE_001,1,2,4,deren,deren,DET,det,5,deren,deren,FALSE,FALSE,NA,NA,NA,NA
HUMAN_BASELINE_001,1,2,5,Auswirkungen,auswirkung,NOUN,nsubj,7,auswirkungen,auswirkung,FALSE,FALSE,2.678,2.678,2.741,-2.678
HUMAN_BASELINE_001,1,2,6,noch,noch,ADV,advmod,7,noch,noch,FALSE,FALSE,3.232,3.232,3.702,-3.232
HUMAN_BASELINE_001,1,2,7,absehbar,absehbar,ADJ,acl,2,absehbar,absehbar,FALSE,FALSE,1.777,1.777,1.793,-1.777
HUMAN_BASELINE_001,1,2,8,sind,sein,AUX,cop,7,sind,sein,FALSE,FALSE,2.993,2.993,3.9255000000000004,-2.993
HUMAN_BASELINE_001,1,2,9,",",",",PUNCT,punct,7,,,TRUE,FALSE,NA,NA,NA,NA
