text_id,model,segment_id_1,segment_id_2,sentence_order_1,sentence_order_2,x3s_adjacent_sentence_similarity,normalized_position
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_S002,BASIC_CHATGPT_NATIVE_001_S003,2,3,-0.006483759220169189,0
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_S003,BASIC_CHATGPT_NATIVE_001_S004,3,4,0.2511735254149932,0.047619047619047616
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_S004,BASIC_CHATGPT_NATIVE_001_S005,4,5,0.39476832111155274,0.09523809523809523
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_S005,BASIC_CHATGPT_NATIVE_001_S006,5,6,0.05844587328539674,0.14285714285714285
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_S006,BASIC_CHATGPT_NATIVE_001_S007,6,7,0.16889730516056747,0.19047619047619047
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_S007,BASIC_CHATGPT_NATIVE_001_S008,7,8,0.23621998520473328,0.23809523809523808
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_S008,BASIC_CHATGPT_NATIVE_001_S010,8,10,0.0029926407426040177,0.2857142857142857
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_S010,BASIC_CHATGPT_NATIVE_001_S011,10,11,0.20789373389716603,0.3333333333333333
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_S011,BASIC_CHATGPT_NATIVE_001_S012,11,12,-0.09413572169378463,0.38095238095238093
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_S012,BASIC_CHATGPT_NATIVE_001_S013,12,13,0.11118038759026053,0.42857142857142855
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_S013,BASIC_CHATGPT_NATIVE_001_S014,13,14,0.0599185728821246,0.47619047619047616
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_S014,BASIC_CHATGPT_NATIVE_001_S015,14,15,0.14538578907748606,0.5238095238095238
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_S015,BASIC_CHATGPT_NATIVE_001_S016,15,16,-0.08490507955073873,0.5714285714285714
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_S016,BASIC_CHATGPT_NATIVE_001_S018,16,18,-0.06675977437361219,0.6190476190476191
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_S018,BASIC_CHATGPT_NATIVE_001_S019,18,19,0.14346477785565698,0.6666666666666666
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_S019,BASIC_CHATGPT_NATIVE_001_S020,19,20,-0.047374714016560834,0.7142857142857143
